threshold,accuracy,f1_score
0.5,0.947098976109215,0.9630952380952381
0.505,0.9462457337883959,0.9624776652769506
0.51,0.9462457337883959,0.9624776652769506
0.515,0.947098976109215,0.9630071599045346
0.52,0.947098976109215,0.9630071599045346
0.525,0.947098976109215,0.9630071599045346
0.53,0.947098976109215,0.9630071599045346
0.535,0.947098976109215,0.9630071599045346
0.54,0.9453924914675768,0.961768219832736
0.545,0.9436860068259386,0.9605263157894737
0.55,0.9428327645051194,0.959904248952723
0.555,0.9419795221843004,0.9592814371257485
0.56,0.9419795221843004,0.9592814371257485
0.565,0.9419795221843004,0.9592814371257485
0.5700000000000001,0.9428327645051194,0.9598562013181546
0.575,0.9419795221843004,0.9592326139088729
0.58,0.9411262798634812,0.9586082783443312
0.585,0.9411262798634812,0.9586082783443312
0.59,0.9411262798634812,0.9586082783443312
0.595,0.9411262798634812,0.9586082783443312
0.6,0.9411262798634812,0.9586082783443312
0.605,0.9402730375426621,0.957983193277311
0.61,0.939419795221843,0.9573573573573574
0.615,0.9402730375426621,0.9579326923076923
0.62,0.9402730375426621,0.9579326923076923
0.625,0.9385665529010239,0.9566787003610109
0.63,0.9377133105802048,0.9560505719446116
0.635,0.9377133105802048,0.9560505719446116
0.64,0.9377133105802048,0.9560505719446116
0.645,0.9368600682593856,0.9554216867469879
0.65,0.9360068259385665,0.9547920433996383
0.655,0.9360068259385665,0.9547920433996383
0.66,0.9368600682593856,0.9553679131483716
0.665,0.9368600682593856,0.9553679131483716
0.67,0.9360068259385665,0.9547374773687387
0.675,0.9360068259385665,0.9547374773687387
0.6799999999999999,0.9351535836177475,0.9541062801932367
0.685,0.9351535836177475,0.9541062801932367
0.69,0.9351535836177475,0.9541062801932367
0.6950000000000001,0.9351535836177475,0.9541062801932367
0.7,0.9343003412969283,0.9534743202416919
0.7050000000000001,0.9343003412969283,0.9534180278281912
0.71,0.9343003412969283,0.9534180278281912
0.715,0.9334470989761092,0.9527845036319612
0.72,0.9325938566552902,0.9520921770770163
0.725,0.9325938566552902,0.9520921770770163
0.73,0.9334470989761092,0.9526699029126213
0.735,0.9334470989761092,0.9526699029126213
0.74,0.9334470989761092,0.9526699029126213
0.745,0.931740614334471,0.951397326852977
0.75,0.9308873720136519,0.9507598784194529
0.755,0.931740614334471,0.9513381995133819
0.76,0.9300341296928327,0.9500609013398295
0.765,0.9291808873720137,0.9494210847044485
0.77,0.9266211604095563,0.9474969474969475
0.775,0.9249146757679181,0.9462102689486552
0.78,0.9232081911262798,0.944920440636475
0.785,0.9180887372013652,0.941031941031941
0.79,0.9172354948805461,0.9403810694529809
0.7949999999999999,0.9163822525597269,0.939729397293973
0.8,0.9155290102389079,0.939076923076923
0.8049999999999999,0.9146757679180887,0.9384236453201971
0.81,0.9129692832764505,0.93711467324291
0.815,0.909556313993174,0.934487021013597
0.8200000000000001,0.908703071672355,0.9336639801611903
0.825,0.9069965870307167,0.9323401613904407
0.8300000000000001,0.9052901023890785,0.9310130515848353
0.835,0.9027303754266212,0.9290161892901619
0.8400000000000001,0.9001706484641638,0.9270118527760449
0.845,0.8959044368600683,0.9236545682102628
0.8500000000000001,0.893344709897611,0.9216300940438872
0.855,0.8882252559726962,0.9174543163201008
0.86,0.878839590443686,0.9098984771573604
0.865,0.8754266211604096,0.9071246819338422
0.87,0.8720136518771331,0.9043367346938775
0.875,0.8651877133105802,0.8987179487179487
0.88,0.8600682593856656,0.8943298969072165
0.885,0.85580204778157,0.8907563025210085
0.89,0.8489761092150171,0.8848405985686402
0.895,0.840443686006826,0.8775376555337263
0.9,0.8267918088737202,0.8656518861681006
0.905,0.8191126279863481,0.8588548601864181
0.91,0.8071672354948806,0.847913862718708
0.915,0.7960750853242321,0.8375254928619986
0.9199999999999999,0.7764505119453925,0.819060773480663
0.925,0.7610921501706485,0.8041958041958042
0.9299999999999999,0.7320819112627986,0.7750716332378224
0.935,0.6945392491467577,0.735207100591716
0.94,0.6552901023890785,0.6906584992343032
0.9450000000000001,0.6186006825938567,0.6460807600950119
0.95,0.560580204778157,0.5690376569037657
0.9550000000000001,0.4991467576791809,0.4772929652715939
0.96,0.4197952218430034,0.33980582524271846
0.9650000000000001,0.35238907849829354,0.20189274447949526
0.97,0.30887372013651876,0.1
0.9750000000000001,0.2781569965870307,0.020833333333333332
0.98,0.27303754266211605,0.006993006993006993
0.985,0.2713310580204778,0.002336448598130841
0.99,0.27047781569965873,0.0
0.995,0.27047781569965873,0.0
1.0,0.27047781569965873,0.0
